戦略,国内ヒット数,海外ヒット数,合計,国内銘柄,海外銘柄
A-1_高リターンモメンタム,11,8,19,1306.T、1348.T、1577.T、1320.T、1321.T、1330.T、1478.T、1615.T、1698.T、1699.T、2516.T,HDV、DVY、PDBC、DXJ、GLD、IAU、SOXX、SCHD
A-2_長期安定成長,6,21,27,1306.T、1348.T、1577.T、1478.T、1698.T、2563.T,HDV、DVY、PDBC、DXJ、VEA、VYM、SCHD、IEMG、EWJ、VOO、EFA、EEM、IVV、VTI、QQQ、SPY、AOA、VWO、ACWI、AOM、VT
A-3_相対モメンタム上昇,1,1,2,1699.T,PDBC
B-1_低コスト高リターン,0,0,0,,
B-2_シャープレシオ優位,9,2,11,1306.T、1348.T、1577.T、1320.T、1321.T、1330.T、1478.T、1615.T、1698.T,HDV、DVY
B-3_低β安定リターン,0,1,1,,HDV
C-1_低DD安定型,3,6,9,1343.T、1345.T、2552.T,HDV、DVY、VEA、VYM、SCHD、EFA
C-2_分散効果優位,0,1,1,,HDV
D-1_大型高リターン,12,14,26,1306.T、1348.T、1577.T、1320.T、1321.T、1330.T、1478.T、1615.T、1540.T、2558.T、1343.T、1345.T,HDV、DVY、PDBC、DXJ、GLD、VEA、VYM、IAU、SOXX、SCHD、IEMG、EWJ、EFA、EEM
D-2_超大型安定資金,5,3,8,1306.T、1348.T、1320.T、1321.T、1330.T,HDV、DVY、PDBC
E-1_強気ダイバージェンス,2,5,7,1615.T、1698.T,HDV、DVY、VYM、SOXX、EWJ
E-2_押し目サポート,2,8,10,2558.T、2563.T,DVY、VEA、VYM、IEMG、EWJ、EFA、EEM、VWO
F-1_AIテクノロジー,0,0,0,,
F-2_高配当インカム,3,3,6,1577.T、1615.T、1698.T,HDV、DVY、SCHD
F-3_ESGサステナブル,0,0,0,,
G-1_信託総合最優秀,0,0,0,,
G-2_長期積立ベスト,0,0,0,,
H-1_日本株リーダー,0,0,0,,
H-2_全世界分散リーダー,0,0,0,,
H-3_新興国成長型,0,0,0,,
I-1_REIT不動産型,0,0,0,,
I-2_コモディティ実物資産,1,1,2,1699.T,PDBC
I-3_債券固定収益型,0,0,0,,
